team,entry,topic,slot,schedule,stat,N,result
0,0,all,all,1,acc,12290,0.0249797
0,0,all,all,1,precision,27597,0.1147589
0,0,all,all,1,recall,28749,0.1101604
0,0,all,all,1,f1,53179,0.1124126
0,0,FOOD,INFO,1,acc,1741,0.0000000
0,0,FOOD,INFO,1,precision,270,0.0000000
0,0,FOOD,INFO,1,recall,1945,0.0000000
0,0,FOOD,INFO,1,f1,2215,-
0,0,FOOD,CUISINE,1,acc,685,0.1313869
0,0,FOOD,CUISINE,1,precision,1097,0.0838651
0,0,FOOD,CUISINE,1,recall,673,0.1367013
0,0,FOOD,CUISINE,1,f1,1678,0.1039548
0,0,FOOD,TYPE_OF_PLACE,1,acc,437,0.1212815
0,0,FOOD,TYPE_OF_PLACE,1,precision,158,0.3734177
0,0,FOOD,TYPE_OF_PLACE,1,recall,378,0.1560847
0,0,FOOD,TYPE_OF_PLACE,1,f1,477,0.2201493
0,0,FOOD,DRINK,1,acc,155,0.0838710
0,0,FOOD,DRINK,1,precision,239,0.0836820
0,0,FOOD,DRINK,1,recall,112,0.1785714
0,0,FOOD,DRINK,1,f1,331,0.1139601
0,0,FOOD,PLACE,1,acc,719,0.0194715
0,0,FOOD,PLACE,1,precision,8185,0.0017104
0,0,FOOD,PLACE,1,recall,527,0.0265655
0,0,FOOD,PLACE,1,f1,8698,0.0032140
0,0,FOOD,MEAL_TIME,1,acc,126,0.0238095
0,0,FOOD,MEAL_TIME,1,precision,118,0.1271186
0,0,FOOD,MEAL_TIME,1,recall,46,0.3260870
0,0,FOOD,MEAL_TIME,1,f1,149,0.1829268
0,0,FOOD,DISH,1,acc,1825,0.1397260
0,0,FOOD,DISH,1,precision,1797,0.1741792
0,0,FOOD,DISH,1,recall,1865,0.1678284
0,0,FOOD,DISH,1,f1,3349,0.1709448
0,0,FOOD,NEIGHBOURHOOD,1,acc,397,0.2367758
0,0,FOOD,NEIGHBOURHOOD,1,precision,1511,0.0641959
0,0,FOOD,NEIGHBOURHOOD,1,recall,310,0.3129032
0,0,FOOD,NEIGHBOURHOOD,1,f1,1724,0.1065349
0,0,FOOD,all,1,acc,2683,0.0342900
0,0,FOOD,all,1,precision,13375,0.0456075
0,0,FOOD,all,1,recall,5856,0.1041667
0,0,FOOD,all,1,f1,18621,0.0634392
0,0,ATTRACTION,INFO,1,acc,4233,0.0061422
0,0,ATTRACTION,INFO,1,precision,619,0.1421648
0,0,ATTRACTION,INFO,1,recall,4948,0.0177850
0,0,ATTRACTION,INFO,1,f1,5479,0.0316149
0,0,ATTRACTION,TYPE_OF_PLACE,1,acc,1891,0.1692226
0,0,ATTRACTION,TYPE_OF_PLACE,1,precision,1305,0.2804598
0,0,ATTRACTION,TYPE_OF_PLACE,1,recall,1388,0.2636888
0,0,ATTRACTION,TYPE_OF_PLACE,1,f1,2327,0.2718158
0,0,ATTRACTION,ACTIVITY,1,acc,1571,0.0693826
0,0,ATTRACTION,ACTIVITY,1,precision,1352,0.1227811
0,0,ATTRACTION,ACTIVITY,1,recall,1233,0.1346310
0,0,ATTRACTION,ACTIVITY,1,f1,2419,0.1284333
0,0,ATTRACTION,PLACE,1,acc,4006,0.1093360
0,0,ATTRACTION,PLACE,1,precision,3458,0.1529786
0,0,ATTRACTION,PLACE,1,recall,3987,0.1326812
0,0,ATTRACTION,PLACE,1,f1,6916,0.1421088
0,0,ATTRACTION,TIME,1,acc,473,0.0507400
0,0,ATTRACTION,TIME,1,precision,417,0.0887290
0,0,ATTRACTION,TIME,1,recall,300,0.1233333
0,0,ATTRACTION,TIME,1,f1,680,0.1032078
0,0,ATTRACTION,NEIGHBOURHOOD,1,acc,2321,0.2580784
0,0,ATTRACTION,NEIGHBOURHOOD,1,precision,2832,0.2383475
0,0,ATTRACTION,NEIGHBOURHOOD,1,recall,1843,0.3662507
0,0,ATTRACTION,NEIGHBOURHOOD,1,f1,4000,0.2887701
0,0,ATTRACTION,all,1,acc,5949,0.0326105
