team,entry,topic,slot,schedule,stat,N,result
0,0,all,all,1,acc,12290,0.0249797
0,0,all,all,1,precision,27597,0.1147589
0,0,all,all,1,recall,28749,0.1101604
0,0,all,all,1,f1,53179,0.1124126
0,0,all,all,2,acc,1307,0.0321347
0,0,all,all,2,precision,3151,0.1424944
0,0,all,all,2,recall,2993,0.1500167
0,0,all,all,2,f1,5695,0.1461589
0,1,all,all,1,acc,12290,0.0161107
0,1,all,all,1,precision,21107,0.1742550
0,1,all,all,1,recall,28749,0.1279349
0,1,all,all,1,f1,46178,0.1475449
0,1,all,all,2,acc,1307,0.0221882
0,1,all,all,2,precision,2683,0.1979128
0,1,all,all,2,recall,2993,0.1774140
0,1,all,all,2,f1,5145,0.1871036
1,0,all,all,1,acc,12290,0.0397071
1,0,all,all,1,precision,25403,0.3320080
1,0,all,all,1,recall,28749,0.2933667
1,0,all,all,1,f1,45718,0.3114936
1,0,all,all,2,acc,1307,0.0550880
1,0,all,all,2,precision,3240,0.3429012
1,0,all,all,2,recall,2993,0.3711995
1,0,all,all,2,f1,5122,0.3564897
1,1,all,all,1,acc,12290,0.0385679
1,1,all,all,1,precision,20757,0.3615166
1,1,all,all,1,recall,28749,0.2610178
1,1,all,all,1,f1,42002,0.3031552
1,1,all,all,2,acc,1307,0.0596787
1,1,all,all,2,precision,2629,0.3784709
1,1,all,all,2,recall,2993,0.3324424
1,1,all,all,2,f1,4627,0.3539666
1,2,all,all,1,acc,12290,0.0393002
1,2,all,all,1,precision,20657,0.3672847
1,2,all,all,1,recall,28749,0.2639048
1,2,all,all,1,f1,41819,0.3071287
1,2,all,all,2,acc,1307,0.0550880
1,2,all,all,2,precision,2649,0.3793884
1,2,all,all,2,recall,2993,0.3357835
1,2,all,all,2,f1,4637,0.3562566
1,3,all,all,1,acc,12290,0.0387307
1,3,all,all,1,precision,17136,0.4086718
1,3,all,all,1,recall,28749,0.2435911
1,3,all,all,1,f1,38882,0.3052414
1,3,all,all,2,acc,1307,0.0596787
1,3,all,all,2,precision,2169,0.4260028
1,3,all,all,2,recall,2993,0.3087203
1,3,all,all,2,f1,4238,0.3580008
1,4,all,all,1,acc,12290,0.0416599
1,4,all,all,1,precision,22012,0.3650282
1,4,all,all,1,recall,28749,0.2794880
1,4,all,all,1,f1,42726,0.3165816
1,4,all,all,2,acc,1307,0.0612089
1,4,all,all,2,precision,2787,0.3810549
1,4,all,all,2,recall,2993,0.3548279
1,4,all,all,2,f1,4718,0.3674740
2,0,all,all,1,acc,12290,0.0736371
2,0,all,all,1,precision,21260,0.4664158
2,0,all,all,1,recall,28749,0.3449163
2,0,all,all,1,f1,40093,0.3965686
2,0,all,all,2,acc,1307,0.0964040
2,0,all,all,2,precision,2208,0.5217391
2,0,all,all,2,recall,2993,0.3848981
2,0,all,all,2,f1,4049,0.4429917
2,1,all,all,1,acc,12290,0.0567128
2,1,all,all,1,precision,29568,0.3711783
2,1,all,all,1,recall,28749,0.3817524
2,1,all,all,1,f1,47342,0.3763911
2,1,all,all,2,acc,1307,0.0711553
2,1,all,all,2,precision,2894,0.4340014
2,1,all,all,2,recall,2993,0.4196458
2,1,all,all,2,f1,4631,0.4267029
2,2,all,all,1,acc,12290,0.0528885
2,2,all,all,1,precision,30831,0.3629464
2,2,all,all,1,recall,28749,0.3892309
2,2,all,all,1,f1,48390,0.3756294
2,2,all,all,2,acc,1307,0.0680949
2,2,all,all,2,precision,3055,0.4216039
2,2,all,all,2,recall,2993,0.4303375
2,2,all,all,2,f1,4760,0.4259259
2,3,all,all,1,acc,12290,0.0788446
2,3,all,all,1,precision,18345,0.5194876
2,3,all,all,1,recall,28749,0.3314898
2,3,all,all,1,f1,37564,0.4047225
2,3,all,all,2,acc,1307,0.0956389
2,3,all,all,2,precision,1999,0.5642821
2,3,all,all,2,recall,2993,0.3768794
2,3,all,all,2,f1,3864,0.4519231
2,4,all,all,1,acc,12290,0.0698942
