topic, slot, schedule, stat, N, result
all, all, 1, acc, 12290, 0.0397071
all, all, 1, precision, 25403, 0.3320080
all, all, 1, recall, 28749, 0.2933667
all, all, 1, f1, 45718, 0.3114936
FOOD, INFO, 1, acc, 2001, 0.2453773
FOOD, INFO, 1, precision, 1865, 0.4536193
FOOD, INFO, 1, recall, 1945, 0.4349614
FOOD, INFO, 1, f1, 2964, 0.4440945
FOOD, CUISINE, 1, acc, 669, 0.1106129
FOOD, CUISINE, 1, precision, 203, 0.4729064
FOOD, CUISINE, 1, recall, 673, 0.1426449
FOOD, CUISINE, 1, f1, 780, 0.2191781
FOOD, TYPE_OF_PLACE, 1, acc, 527, 0.2258065
FOOD, TYPE_OF_PLACE, 1, precision, 342, 0.4356725
FOOD, TYPE_OF_PLACE, 1, recall, 378, 0.3941799
FOOD, TYPE_OF_PLACE, 1, f1, 571, 0.4138889
FOOD, DRINK, 1, acc, 327, 0.0917431
FOOD, DRINK, 1, precision, 284, 0.1338028
FOOD, DRINK, 1, recall, 112, 0.3392857
FOOD, DRINK, 1, f1, 358, 0.1919192
FOOD, PLACE, 1, acc, 701, 0.0000000
FOOD, PLACE, 1, precision, 293, 0.0000000
FOOD, PLACE, 1, recall, 527, 0.0000000
FOOD, PLACE, 1, f1, 820, -
FOOD, MEAL_TIME, 1, acc, 174, 0.0172414
FOOD, MEAL_TIME, 1, precision, 186, 0.1021505
FOOD, MEAL_TIME, 1, recall, 46, 0.4130435
FOOD, MEAL_TIME, 1, f1, 213, 0.1637931
FOOD, DISH, 1, acc, 1866, 0.0943194
FOOD, DISH, 1, precision, 1669, 0.2306771
FOOD, DISH, 1, recall, 1865, 0.2064343
FOOD, DISH, 1, f1, 3149, 0.2178834
FOOD, NEIGHBOURHOOD, 1, acc, 310, 0.0967742
FOOD, NEIGHBOURHOOD, 1, precision, 30, 1.0000000
FOOD, NEIGHBOURHOOD, 1, recall, 310, 0.0967742
FOOD, NEIGHBOURHOOD, 1, f1, 310, 0.1764706
FOOD, all, 1, acc, 2683, 0.0264629
FOOD, all, 1, precision, 4872, 0.3208128
FOOD, all, 1, recall, 5856, 0.2669057
FOOD, all, 1, f1, 9165, 0.2913870
ATTRACTION, INFO, 1, acc, 4672, 0.1449058
ATTRACTION, INFO, 1, precision, 5753, 0.3556405
ATTRACTION, INFO, 1, recall, 4948, 0.4135004
ATTRACTION, INFO, 1, f1, 8655, 0.3823942
