team,entry,role,task,subtask,schedule,stat,N,result
0,0,GUIDE,SLG,generated,all,am_fm_avg,1380,0.199875893644
0,0,GUIDE,SLG,generated,all,bleu_avg,1380,0.272321865138
0,0,TOURIST,SLG,generated,all,am_fm_avg,840,0.230516663944
0,0,TOURIST,SLG,generated,all,bleu_avg,840,0.304158555878
5,0,GUIDE,SLG,generated,all,am_fm_avg,1380,0.246873283475
5,0,GUIDE,SLG,generated,all,bleu_avg,1380,0.34499843262
5,0,TOURIST,SLG,generated,all,am_fm_avg,840,0.2666213288
5,0,TOURIST,SLG,generated,all,bleu_avg,840,0.332657368829
5,1,GUIDE,SLG,generated,all,am_fm_avg,1380,0.256064505805
5,1,GUIDE,SLG,generated,all,bleu_avg,1380,0.35521845876
5,1,TOURIST,SLG,generated,all,am_fm_avg,840,0.300667396118
5,1,TOURIST,SLG,generated,all,bleu_avg,840,0.353909128209
5,2,GUIDE,SLG,generated,all,am_fm_avg,1380,0.218282696337
5,2,GUIDE,SLG,generated,all,bleu_avg,1380,0.313959184069
5,2,TOURIST,SLG,generated,all,am_fm_avg,840,0.260837128387
5,2,TOURIST,SLG,generated,all,bleu_avg,840,0.327201987986
5,3,GUIDE,SLG,generated,all,am_fm_avg,1380,0.222996706138
5,3,GUIDE,SLG,generated,all,bleu_avg,1380,0.329821629345
5,3,TOURIST,SLG,generated,all,am_fm_avg,840,0.328694802361
5,3,TOURIST,SLG,generated,all,bleu_avg,840,0.387433479094
